2009;main;Grace Lewis;Software Engineering Institute;Carnegie Mellon;Pittsburgh;USA
2009;main;Mikael Lindvall;Fraunhofer Center Maryland;USA;;
2009;main;Andrian Marcus;Wayne State University;USA;;
2009;main;Radu Marinescu;Politehnica University of Timisoara;Romania;;
2009;main;Leon Moonen;Simula Research Laboratory;Norway;;
2009;main;Liam O'Brien;LERO;Ireland;;
2009;main;Jochen Quante;University of Bremen;Germany;;
2009;main;Dennis Smith;Software Engineering Institute;Carnegie Mellon;Pittsburgh;USA
2009;main;Harry Sneed;Germany;;;
2009;main;Diomidis Spinellis;Athens University of Economics and Business;Greece;;
2009;main;Eleni Stroulia;University of Alberta;Canada;;
2009;main;Ladan Tahvildari;University of Waterloo;Canada;;
2009;main;Scott Tilley;Florida Institute of Technology;USA;;
2009;main;Christos Tjortjis;University of Manchester;UK.;;
2009;main;Paolo Tonella;Fondazione Bruno Kessler - IRST;Trento;Italy;
2009;main;Mark G. J. van den Brand;Technical University Eindhoven;The Netherlands;;
2009;main;Arie van Deursen;Delft University of Technology;The Netherlands;;
2009;main;Chris Verhoef;VU Amsterdam;The Netherlands;;
2009;main;Hongji Yang;De Montfort University;Leicester;UK;
2009;main;Andy Zaidman;Delft University of Technology;The Netherlands;;
2009;main;Thomas Zimmermann;University of Calgary;Canada;;
2008;main;Kostas Kontogiannis;National Technical University of Athens;Greece;;
2008;main;Christos Tjortjis;University of Manchester;UK;;
2008;main;Andreas Winter;Johannes-Gutenberg-Universität Mainz;Germany;;
2008;main;Nicolas Anquetil;Universidade Catolica de Brasilia;Brazil;;
2008;main;Francoise Balmas;Universite Paris 8;France;;
2008;main;Cornelia Boldyreff;University of Lincoln;UK;;
2008;main;Fernando Brito e Abreu;Universidade Nova de Lisboa;Portugal;;
2008;main;Danilo Caivano;University of Bari;Italy;;
2008;main;Gerardo Canfora;University of Sannio;RCOST;Benevento;Italy
2008;main;Jim Cordy;Queen's University;Canada;;
2008;main;Andrea De Lucia;Universita degli Studi di Salerno;Italy;;
2008;main;Tom Dean;Queen's University;Canada;;
2008;main;Giuseppe Antonio di Lucca;University of Sannio;RCOST;Benevento;Italy
2008;main;Massimiliano Di Penta;University of Sannio;RCOST;Benevento;Italy
2008;main;Damiano Distante;University of Sannio;RCOST;Benevento;Italy
2008;main;Stephane Ducasse;Université de Savoie;France;;
2008;main;Anna Rita Fasolino;University of Naples Federico II;Italy;;
2008;main;Jean-Marie Favre;University of Grenoble;France;;
2008;main;Rudolf Ferenc;University of Szeged;Hungary;;
2008;main;Michael W. Godfrey;University of Waterloo;Canada;;
2008;main;Nicolas Gold;Department of Computer Science King's College London;UK;;
2008;main;Tibor Gyimothy;University of Szeged;Hungary;;
2008;main;Mark Harman;King's College London;UK;;
2008;main;Wilhelm Hasselbring;University of Oldenburg;Germany;;
2008;main;Mira Kajko-Mattsson;Stockholm University and Royal Institute of Technology;Sweden;;
2008;main;Holger M. Kienle;University of Victoria;Canada;;
2008;main;Günter Kniesel;University of Bonn;Germany;;
2008;main;Rainer Koschke;University of Bremen;Germany;;
2008;main;René Krikhaar;ICT NoviQ / Vrije Universiteit Amsterdam;The Netherlands;;
2008;main;Ralf Laemmel;University of Koblenz-Landau;Germany;;
2008;main;Michele Lanza;University of Lugano;Switzerland;;
2008;main;Paul Layzell;University of Sussex;U.K.;;
2008;main;Panos Linos;Butler University;;;
2008;main;Spiros Mancoridis;Drexel University;USA;;
2008;main;Liam O'Brien;National ICT;Australia;;
2008;main;Martin Pinzger;University of Zurich;Switzerland;;
2008;main;Lori Pollock;University of Delaware;USA;;
2008;main;Jochen Quante;University of Bremen;Germany Harry Sneed;Germany;
2008;main;Diomidis Spinellis;Athens University of Economics and Business;;;
2008;main;Eleni Stroulia;University of Alberta;Canada;;
2008;main;Tarja Systä;Tampere University of Technology;Finland;;
2008;main;Ladan Tahvildari;University of Waterloo;Canada;;
2008;main;Scott Tilley;Florida Institute of Technology;USA;;
2008;main;Paolo Tonella;Fondazione Bruno Kessler - IRST;Trento;Italy;
2008;main;Vassilios Tzerpos;York University;Canada;;
2008;main;Mark G. J. van den Brand;Technical University Eindhoven;The Netherlands;;
2008;main;Arie van Deursen;Delft University of Technology;The Netherlands;;
2008;main;Yiannis Vassiliou;National Technical University of Athens;Greece;;
2008;main;Giuseppe Visaggio;University of Bari;Italy;;
2008;main;Hongji Yang;De Montfort University;Leicester;U.K.;
2008;main;Thomas Zimmermann;University of Calgary;Canada;;
2008;main;Jenny Zou;Queen's University;Kingston;Canada;
2007;main;René Krikhaar;Vrije Universiteit;The Netherlands;;
2007;main;Chris Verhoef;Vrije Universiteit;The Netherlands;;
2007;main;Giuseppe Antonio di Lucca;University of Sannio;Italy;;
2007;main;Nicolas Anquetil;Universidade Catolica de Brasilia;Brazil;;
2007;main;Jose L Arciniegas;Universidad del Cauca;Colombia;;
2007;main;Francoise Balmas;Universite Paris 8;France;;
2007;main;Mark G. J. van den Brand;Technical University Eindhoven;the Netherlands;;
2007;main;Fernando Brito e Abreu;New University of Lisbon;Portugal;;
2007;main;Liz Burd;University of Durham;United Kingdom;;
2007;main;Gerardo Canfora;University of Sannio;Italy;;
2007;main;Juan Carlos Duenas;Polytechnic University of Madrid;Spain;;
2007;main;Andrea De Lucia;Universita degli Studi di Salerno;Italy;;
2007;main;Serge Demeyer;University of Antwerp;Belgium;;
2007;main;Arie van Deursen;Delft University of Technology;the Netherlands;;
2007;main;Dirk Draheim;Freie Universität Berlin;Germany;;
2007;main;Stephane Ducasse;Université de Savoie;France;;
2007;main;Jürgen Ebert;University of Koblenz-Landau;Germany;;
2007;main;Anna Rita Fasolino;University of Naples Federico II;Italy;;
2007;main;Nicolas Gold;Department of Computer Science King's College London;United Kingdom;;
2007;main;Tibor Gyimothy;University of Szeged;Hungary;;
2007;main;Mira Kajko-Mattsson;Stockholm University and Royal Institute of Technology;Sweden;;
2007;main;Jens Knodel;Fraunhofer IESE;Germany;;
2007;main;Kostas Kontogiannis;University of Waterloo;Canada;;
2007;main;Rainer Koschke;University of Bremen;Bremen;Germany;
2007;main;Martin Kropp;University of Applied Sciences Northwestern Switzerland;Switzerland;;
2007;main;Michele Lanza;University of Lugano;Switzerland;;
2007;main;Spiros Mancoridis;Drexel University;USA;;
2007;main;Andrian Marcus;Wayne State University;USA;;
2007;main;Leon Moonen;Delft University of Technology;CWI;the Netherlands;
2007;main;Massimiliano Di Penta;University of Sannio;Italy;;
2007;main;Martin Pinzger;University of Zurich;Switzerland;;
2007;main;Lori Pollock;University of Delaware;USA;;
2007;main;Claudio Riva;Nokia Research Center;Finland;;
2007;main;Tobias Roetschke;Technical University Darmstadt;Germany;;
2007;main;Harry Sneed;Software Maintenance & Reengineering Consultant;Hungary;;
2007;main;Paolo Tonella;ITC;IRST;Trento;Italy
2007;main;Fernando Usero;Abengoa Telvent;Spain;;
2007;main;Niels Veerman;Vrije Universiteit Amsterdam;the Netherlands;;
2007;main;Giuseppe Visaggio;University of Bari;Italy;;
2006;main;Nicolas Anquetil;Universidade Catolica de Brasilia;Brazil;;
2006;main;Giuliano Antoniol;University of Sannio;Italy;;
2006;main;Haroon Babri;Lahore University of Management and Technology;Pakistan;;
2006;main;Maria Teresa Baldassarre;University of Bari;Italy;;
2006;main;Francoise Balmas;Universite Paris 8;Paris;;
2006;main;Ira Baxter;Semantic Designs;USA;;
2006;main;Keith Bennett;University of Durham;UK;;
2006;main;Fernando Brito e Abreu;New University of Lisbon;Portugal;;
2006;main;Liz Burd;University of Durham;UK;;
2006;main;Gerardo Canfora;University of Sannio;Italy;;
2006;main;Elliot Chikofsky;Engineering Management & Integration;USA;;
2006;main;Aniello Cimitile;University of Sannio;Italy;;
2006;main;Andrea De Lucia;University of Salerno;Italy;;
2006;main;Dirk Draheim;Freie Universität Berlin;Germany;;
2006;main;Stephane Ducasse;Université de Savoie;France;;
2006;main;Jürgen Ebert;University of Koblenz-Landau;Germany;;
2006;main;Anna Rita Fasolino;University of Naples Federico II;Italy;;
2006;main;Juan Fernandez-Ramil;The Open University;UK;;
2006;main;Harald Gall;University of Zurich;Switzerland;;
2006;main;Tibor Gyimothy;University of Szeged;Hungary;;
2006;main;Mark Harman;King's College London;UK;;
2006;main;Mira Kajko-Mattsson;Stockholm University and Royal Institute of Technology;Sweden;;
2006;main;Kostas Kontogiannis;University of Waterloo;Canada;;
2006;main;Michele Lanza;University of Lugano;Switzerland;;
2006;main;Spiros Mancoridis;Drexel University;USA;;
