2003;main;Debra Richardson;University of California Irvine;USA;
2003;main;Motoshi Saeki;Tokyo Institute of Technology;Japan;
2003;main;Clemens A. Szyperski;Microsoft Research;USA;
2003;main;Richard N. Taylor;University of California Irvine;USA;
2003;main;Hans van Vliet;IMSE Vrije Universiteit;The Netherlands;
2003;main;Michel Wermelinger;New University of Lisbon;Portugal;
2003;main;Alexander L. Wolf;University of Colorado;USA;
2003;main;Andreas Zeller;Saarland University;Germany;
2003;ds;Betty H. C. Cheng;Michigan State University;USA;
2003;ds;Laura K. Dillon;Michigan State University;USA;
2003;ds;Jeffrey Kramer;Imperial College;UK;
2003;ds;Mary Lou Soffa;University of Pittsburgh;USA;
2002;main;Mary Lou Soffa;University of Pittsburgh;USA;
2002;main;William Griswold;University of Caifornia, San Diego;USA;
2002;main;Joanne M. Atlee;University of Waterloo;;
2002;main;Premkumar T. Devanbu;University of California;Davis;
2002;main;Matthew Dwyer;Kansas State University;;
2002;main;Michael Ernst;MIT Laboratory for Computer Science;;
2002;main;John Field;IBM T.J. Watson Research Center;;
2002;main;David Garlan;Carnegie Mellon University;;
2002;main;Martin Glinz;University of Zurich;;
2002;main;André van der Hoek;University of California;Irvine;
2002;main;Paola Inverardi;University of L'Aquila;;
2002;main;Jens H. Jahnke;University of Victoria;;
2002;main;John C. Knight;University of Virginia;;
2002;main;Axel van Lamsweerde;Université Catholique de Louvain;;
2002;main;Kenichi Matsumoto;Nara Institute of Science and Technology;;
2002;main;Atif Memon;University of Maryland;;
2002;main;Kumiyo Nakakoji;University of Tokyo;;
2002;main;Adam Porter;University of Maryland;;
2002;main;Sriram K. Rajamani;Microsoft Research;;
2002;main;Gruia-Catalin Roman;Washington University St. Louis;;
2002;main;Gregg Rothermel;Oregon State University;;
2002;main;Barbara G. Ryder;Rutgers University;;
2002;main;Andreas Zeller;University of Saarland;;
2001;main;Volker Gruhn;University of Dortmund;Germany;
2001;main;A Min Tjoa;Vienna University of Technology;Austria;
2001;tutorials;Harald Gall;Vienna University of Technology;Austria;
2001;main;Israel Ben-Shaul;Technion Israel Institute of Technology;Israel;
2001;main;Alfred Bröckers;adesso AG;Germany ;
2001;main;Johannes Bumiller;DaimlerChrysler AG;Germany ;
2001;main;Christine Choppy;Université Paris XIII;France ;
2001;main;Gianpaolo Cugola;Politecnico di Milano;Italy ;
2001;main;Premkumar T. Devanbu;University of California Davis;USA ;
2001;main;Wolfgang Emmerich;University College London;UK ;
2001;main;Carlo Ghezzi;Politecnico di Milano;Italy;
2001;main;Paul Grefen;University of Twente;Netherlands;
2001;main;Mary Jean Harrold;Georgia Institute of Technology;USA;
2001;main;Wilhelm Hasselbring;University of Oldenburg;Germany;
2001;main;George T. Heineman;WPI;USA;
2001;main;Katsuro Inoue;Osaka University;Japan;
2001;main;Mehdi Jazayeri;Technical University of Vienna;Austria;
2001;main;Stefan Jablonski;University of Erlangen-Nuernberg;Germany;
2001;main;Jens H. Jahnke;University of Victoria;Canada;
2001;main;Gerti Kappel;University of Linz;Austria;
2001;main;Rudolf K. Keller;Universite de Montreal;Canada;
2001;main;Axel van Lamsweerde;University of Louvain;Belgium;
2001;main;Nenad Medvidovic;University of Southern California;USA;
2001;main;Walcelio L. Melo;Oracle and UCB;Brazil;
2001;main;Carlo Montangero;Universita di Pisa;Italy;
2001;main;David Notkin;University of Washington;USA;
2001;main;Bashar Nuseibeh;The Open University;UK;
2001;main;Dewayne E. Perry;The University of Texas at Austin;USA;
2001;main;Flavio Oquendo;University of Savoie;France;
2001;main;Leon J. Osterweil;University of Massachusetts, Amherst;USA;
2001;main;David M. Raffo;Portland State University;USA;
2001;main;Debra Richardson;University of California, Irvine;USA;
2001;main;David S. Rosenblum;University of California, Irvine;USA;
2001;main;Wilhelm Schäfer;University of Paderborn;Germany;
2001;main;Tetsuo Tamai;University of Tokyo;Japan;
2001;main;Alexander L. Wolf;University of Colorado at Boulder;USA;
2001;main;Yun Yang;Swinburne University of Technology;Australia;
2001;main;Pamela Zave;AT&T Laboratories;USA;
2000;main;John C. Knight;University of Virginia;USA;
2000;main;David S. Rosenblum;University of California, Irvine;USA;
2000;tutorials;Will Tracz;Lockheed Martin Company;;
2000;main;Thomas Ball;Microsoft Research;;
2000;main;Lori A. Clarke;University of Massachusetts;;
2000;main;Premkumar T. Devanbu;University of California, Davis;;
2000;main;Elisabetta Di Nitto;CEFRIEL-Politecnico di Milano;;
