2011;main;Rainer Koschke;University of Bremen, Germany
2011;main;Michele Lanza;University of Lugano, Switzerland
2011;main;Robyn Lutz;Iowa State University and Jet Propulsion Lab, USA
2011;main;Sam Malek;George Mason University, USA
2011;main;Darko Marinov;University of Illinois at Urbana-Champaign, USA
2011;main;Nenad Medvidovic;University of Southern California, USA
2011;main;Nachiappan Nagappan;Microsoft Research, USA
2011;main;David Notkin;University of Washington at Seattle, USA
2011;main;Bashar Nuseibeh;Lero, Ireland and The Open University, UK
2011;main;Alessandro Orso;Georgia Institute of Technology, USA
2011;main;Harold Ossher;IBM T.J. Watson Research Center, USA
2011;main;Mauro Pezze;University of Lugano, Switzerland and Universit`a di
2011;main;Milano Bicocca;Italy
2011;main;Martin Robillard;McGill University, Canada
2011;main;David Rosenblum;University College London, UK
2011;main;Anita Sarma;University of Nebraska - Lincoln, USA
2011;main;Wilhelm Schafer;University of Paderborn, Germany
2011;main;Tetsuo Tamai;University of Tokyo, Japan
2011;main;Frank Tip;IBM T.J. Watson Research Center, USA
2011;main;Sebastian Uchitel;University of Buenos Aires, Argentina and Imperial College London, UK
2011;main;Andre van der Hoek;University of California at Irvine, USA
2011;main;Arie van Deursen;Delft University of Technology, The Netherlands
2011;main;Willem Visser;Stellenbosch University, South Africa
2011;main;Laurie Williams;North Carolina State University, USA
2011;main;Tao Xie;North Carolina State University, USA
2011;main;Yun Yang;Swinburne University of Technology, Australia
2011;main;Apostolos Zarras;University of Ioannina, Greece
2011;main;Andreas Zeller;Saarland University, Germany
2011;main;Thomas Zimmermann;Microsoft Research, USA
2011;external;Umut Acar;
2011;external;Mithun Acharya;
2011;external;Andrea Arcuri;
2011;external;Fernando Asteasuain;
2011;external;Andrew Austin;
2011;external;Marco Autili;
2011;external;Alberto Bacchelli;
2011;external;Tibor Bakota;
2011;external;Katalin Balla;
2011;external;Arosha Bandara;
2011;external;Simone Barbosa;
2011;external;Earl Barr;
2011;external;Samik Basu;
2011;external;Steffen Becker;
2011;external;Rachel Bellamy;
2011;external;Luca Berardinelli;
2011;external;Marcello M. Bersani;
2011;external;Arpad Beszedes;
2011;external;Cor-Paul Bezemer;
2011;external;Domenico Bianculli;
2011;external;Nelis Boucke;
2011;external;Eric Bouwers;
2011;external;Victor Braberman;
2011;external;Pietro Braione;
2011;external;Yuriy Brun;
2011;external;Sander van der Burg;
2011;external;Jacob Burnim;
2011;external;Dahai Cao;
2011;external;Guido de Caso;
2011;external;Luigi Cerulo;
2011;external;Hernan Czemerinski;
2011;external;Nicolas D'Ippolito;
2011;external;Barthelemy Dagenais;
2011;external;Valentin Dallmeier;
2011;external;Markus von Detten;
2011;external;Werner Dietl;
2011;external;Eelco Dolstra;
2011;external;Mauro Luigi Drago;
2011;external;Drago Ekwa;
2011;external;Duala-Ekoko;
2011;external;Stefan Dziwok;
2011;external;Tobias Eckardt;
2011;external;Romina Eramo;
2011;external;Naeem Esfahani;
2011;external;Davide Falessi;
2011;external;Roberto Silva Filho;
2011;external;Antonio Filieri;
2011;external;Stephen Fink;
2011;external;Marc Fisher II;
2011;external;Patrick Francis;
2011;external;Rudolf Ferenc;
2011;external;Lajos Jeno;
2011;external;Fulop Juan;
2011;external;Juan Pablo Galeotti;
2011;external;Alessio Gambi;
2011;external;Diego Garbervetsky;
2011;external;Tamas Gergely;
2011;external;Milos Gligoric;
2011;external;Colin S. Gordon;
2011;external;Justin Gorham;
2011;external;Alessandra Gorla;
2011;external;Joel Greenyer;
2011;external;Michaela Greiler;
2011;external;Danny Groenewegen;
2011;external;Paul Gruehnbacher;
2011;external;Stefan Hanenberg;
2011;external;Lile Hattori;
2011;external;Qiang He;
2011;external;Peter Hegedus;
2011;external;Christian Heinzemann;
2011;external;Zef Hemel;
2011;external;Felienne Hermans;
2011;external;Jorg Holtmann;
2011;external;JeeHyun Hwang;
2011;external;Judit Jasz;
2011;external;Maartje de Jonge;
2011;external;Anjali Joshi;
2011;external;Mira Kajko-Mattson;
2011;external;Lennart Kats;
2011;external;David Kawrykow;
2011;external;Jason King;
2011;external;Akos Kiss;
2011;external;Leonid Kof;
2011;external;Peter Kortvelyesi;
2011;external;Sandeep Krishnan;
2011;external;Zhifeng Lai;
2011;external;Rogerio de Lemos;
2011;external;Sorin Lerner;
2011;external;Huai Liu;
2011;external;Renate Loffler;
2011;external;Nicolas Lopez;
2011;external;Roberto Lopez-Herrejon;
2011;external;Daniel Lucredio;
2011;external;Antinisca Di Marco;
2011;external;Hernan Melgratti;
2011;external;Andy Meneely;
2011;external;Ali Mesbah;
2011;external;Jan Meyer;
2011;external;Matthias Meyer;
2011;external;Todd Millstein;
2011;external;Andrea Mocci;
2011;external;Leon Moonen;
2011;external;Mariano Moscato;
2011;external;Patrick Mader;
2011;external;Csaba Nagy;
2011;external;Adam Nasr;
2011;external;Shiva Nejati;
2011;external;Adrian Nistor;
2011;external;Alexander Nohrer;
2011;external;John Noll;
2011;external;Fabrizio Pastore;
2011;external;Rahul Pandita;
2011;external;Esteban Pavese;
2011;external;Patrizio Pelliccione;
2011;external;Leandro Sales;
2011;external;Pinto Carlos;
2011;external;Carlos Lopez Pombo;
2011;external;Claudia Priesterjahn;
2011;external;Tristan Ratchford;
2011;external;Alexander Reder;
2011;external;Jan Rieke;
2011;external;Robby;
2011;external;Davide Di Ruscio;
2011;external;Mehrdad Sabetzadeh;
2011;external;Max Schaefer;
2011;external;Todd Schiller;
2011;external;Lajos Schrettner;
2011;external;Koushik Sen;
2011;external;Amir Molzam Sharifloo;
2011;external;Helen Sharp;
2011;external;Yonghee Shin;
2011;external;German Sibay;
2011;external;Istvan Siket;
2011;external;John Slankas;
2011;external;Ben Smith;
2011;external;Yoonki Song;
2011;external;R. Spalazzese;
2011;external;Klaas-Jan Stol;
2011;external;Oliver Sudmann;
2011;external;Raza Abbas Syed;
2011;external;Giordano Tamburrelli;
2011;external;Kunal Taneja;
2011;external;Ewan Tempero;
2011;external;Keerthi Thomas;
2011;external;Suresh Thummalapenta;
2011;external;Thein Than Tun;
2011;external;Matthias Tichy;
2011;external;Massimo Tivoli;
2011;external;Giovanni Toffetti;
2011;external;Davi Tosi;
2011;external;Gabriella Toth;
2011;external;Minh Hong Tran;
2011;external;Dietrich Travkin;
2011;external;Catia Trubiani;
2011;external;Thein Than Tun;
2011;external;Gias Uddin;
2011;external;Sander Vermolen;
2011;external;Laszlo Vidacs;
2011;external;Xinming Wang;
2011;external;Jochen Wuttke;
2011;external;Junchao Xiao;
2011;external;Xusheng Xiao;
2011;external;Chang Xu;
2011;external;Annie Ying;
2011;external;Yijun Yu;
2011;external;Tao Yue;
2011;external;Andy Zaidman;
2011;external;Pingyu Zhang;
2011;external;Wujie Zheng;
2011;nier;Judith Bishop;Microsoft Research, USA
