Conference;Year;First Name;Last Name;Sex;Role
FASE;2002;Herbert;Weber;Male;Program Chair
FASE;2001;Heinrich;Hussmann;Male;Program Chair
FASE;2000;Thomas Stephen Edward;Maibaum;Male;Program Chair
FASE;1999;Jean-Pierre;Finance;Male;Program Chair
FASE;1998;Egidio;Astesiano;Male;Program Chair
ESEC/FSE;2013;Bertrand;Meyer;Male;General Chair
ESEC/FSE;2013;Luciano;Baresi;Male;Program Chair
ESEC/FSE;2013;Mira;Mezini;Female;Program Chair
FSE;2012;Bruce;Schneier;Male;General Chair
FSE;2012;Anne;Canteaut;Female;Program Chair
ESEC/FSE;2011;Tibor;Gyimothy;Male;General Chair
ESEC/FSE;2011;Andreas;Zeller;Male;Program Chair
FSE;2010;Gruia-Catalin;Roman;Male;General Chair
FSE;2010;Andre;van der Hoek;Male;Program Chair
ESEC/FSE;2009;Hans;van Vliet;Male;General Chair
ESEC/FSE;2009;Valérie;Issarny;Female;Program Chair
FSE;2008;Mary Jean;Harrold;Female;General Chair
FSE;2008;Gail;Murphy;Female;Program Chair
ESEC/FSE;2007;Ivica;Cmkovic;Male;General Chair
ESEC/FSE;2007;Antonia;Bertolino;Female;Program Chair
FSE;2006;Michal;Young;Male;General Chair
FSE;2006;Premkumar;Devanbu;Male;Program Chair
ESEC/FSE;2005;Michel;Wermelinger;Male;General Chair
ESEC/FSE;2005;Harald;Gall;Male;Program Chair
FSE;2004;Richard N.;Taylor;Male;General Chair
FSE;2004;Matthew B.;Dwyer;Male;Program Chair
ESEC/FSE;2003;Jukka;Paakki;Male;General Chair
ESEC/FSE;2003;Paola;Inverardi;Female;Program Chair
FSE;2002;Mary Lou;Soffa;Female;General Chair
FSE;2002;William;Griswold;Male;Program Chair
ESEC/FSE;2001;A Min;Tjoa;Male;General Chair
ESEC/FSE;2001;Volker;Gruhn;Male;Program Chair
FSE;2000;John C.;Knight;Male;General Chair
FSE;2000;David S.;Rosenblum;Male;Program Chair
ESEC/FSE;1999;Oscar;Nierstrasz;Male;Program Chair
ESEC/FSE;1999;Michel;Lemoine;Male;General Chair
FSE;1998;Leon J.;Osterweil;Male;General Chair
FSE;1998;Bill;Scherlis;Male;Program Chair
ESEC/FSE;1997;Mehdi;Jazayeri;Male;Program Chair
ESEC/FSE;1997;Helmut;Schauer;Male;General Chair
MSR;2014;Premkumar;Devanbu;Male;General Chair
MSR;2014;Sung;Kim;Male;Program Chair
MSR;2014;Martin;Pinzger;Male;Program Chair
MSR;2014;Olga;Baysal;Female;Challenge Chair
MSR;2014;Emad;Shihab;Male;Data Chair
MSR;2013;Thomas;Zimmermann;Male;General Chair
MSR;2013;Massimiliano;Di Penta;Male;Program Chair
MSR;2013;Sung;Kim;Male;Program Chair
MSR;2013;Alberto;Bacchelli;Male;Challenge Chair
MSR;2013;Daniel M.;German;Male;Data Chair
MSR;2012;Michele;Lanza;Male;General Chair
MSR;2012;Massimiliano;Di Penta;Male;Program Chair
MSR;2012;Tao;Xie;Male;Program Chair
MSR;2012;Emad;Shihab;Male;Challenge Chair
MSR;2011;Arie;van Deursen;Male;General Chair
MSR;2011;Tao;Xie;Male;Program Chair
MSR;2011;Thomas;Zimmermann;Male;Program Chair
MSR;2011;Adrian;Schroter;Male;Challenge Chair
MSR;2010;Audris;Mockus;Male;General Chair
MSR;2010;Jim;Whitehead;Male;Program Chair
MSR;2010;Thomas;Zimmermann;Male;Program Chair
MSR;2010;Abram;Hindle;Male;Challenge Chair
MSR;2009;Katsuro;Inoue;Male;General Chair
MSR;2009;Michael W.;Godfrey;Male;Program Chair
MSR;2009;Jim;Whitehead;Male;Program Chair
MSR;2009;Christian;Bird;Male;Challenge Chair
